id;url;title;date_modified
74-20075130;https://yle.fi/a/74-20075130;Presidentti Zelenskyi: Kysykää itseltänne, miksi sota jatkuu;17.2.2024 12:01
74-20075042;https://yle.fi/a/74-20075042;Nämä seitsemän Nato-maata kirivät todennäköisesti sotilasliiton tavoitteeseen puolustusmenoissa tänä vuonna;17.2.2024 13:05
74-20075158;https://yle.fi/a/74-20075158;Analyysi: Navalnyin kuolema lisää Euroopan yhtenäisyyttä – Venäjän hyökkäykselle pitää panna stoppi;17.2.2024 20:37
74-20075252;https://yle.fi/a/74-20075252;Kiina sanoo tukevansa Unkaria turvallisuudessa – Kiinan poliisivoimista vastaava ministeri tapasi pääministeri Orbánin;19.2.2024 9:09
74-20074972;https://yle.fi/a/74-20074972;Ydinaseita Suomen maaperälle? Tätä mieltä ovat puolustusvaliokunnan jäsenet;19.2.2024 17:29
74-20075381;https://yle.fi/a/74-20075381;Ukrainalaiskomentajan viesti Suomelle: Nyt tarvitaan aseita ja vapaaehtoisia;19.2.2024 18:22
74-20075460;https://yle.fi/a/74-20075460;Unkari äänestänee Ruotsin Nato-jäsenyydestä maanantaina – Kristersson tapaa perjantaina Orbánin;20.2.2024 10:12
74-20075573;https://yle.fi/a/74-20075573;Pohjois-Savon elinkeinoelämän alkuviikko on ollut sysimusta – näin kaupungin­johtaja kommentoi irtisanomisaaltoa;20.2.2024 18:33
74-20075637;https://yle.fi/a/74-20075637;Orbánin sooloilu kärjistyy – Unkari aloittaa nyt turvallisuusyhteistyön Kiinan kanssa;21.2.2024 11:04
74-20075676;https://yle.fi/a/74-20075676;Ylen tiedot: Lauri Tierala on vahvoilla Alexander Stubbin kabinetin johtoon;21.2.2024 14:56
74-20075714;https://yle.fi/a/74-20075714;Tuhannet Nato-sotilaat täyttävät pian pienen Hetan kylän – yrittäjä: ”Miten kylä selviää tämmöisestä määrästä ihmisiä?”;21.2.2024 16:02
74-20075693;https://yle.fi/a/74-20075693;Miinantorjunta-alus Itämerelle ja hävittäjiä Mustallemerelle – eduskunnasta tukea Suomen osallistumiselle Naton tehtäviin;21.2.2024 16:27
74-20075542;https://yle.fi/a/74-20075542;Ykkösaamun vieras on Kristi Raik – mitä haluat kysyä turvallisuuspolitiikan asiantuntijalta?;22.2.2024 10:11
74-20075566;https://yle.fi/a/74-20075566;Analyysi: Ukraina on osoittanut, että Yhdysvallat on epäluotettava liittolainen – EU:ssa puhutaan jo varovasti omasta ydinaseesta;22.2.2024 16:46
74-20076039;https://yle.fi/a/74-20076039;Valko-Venäjän valtiojohto väittää Naton ja Euroopan valmistelevan sotatoimia maataan vastaan;22.2.2024 21:03
74-20076035;https://yle.fi/a/74-20076035;Ex-suurlähettiläs: Länsimailla muutaman kuukauden aikaikkuna paikata Ukrainan akuutti ammuspula;22.2.2024 21:46
74-20075987;https://yle.fi/a/74-20075987;Itä-Suomen yliopiston professorille Nato-rahoitus – Joensuussa järjestetään kansainvälinen turvallisuusseminaari;23.2.2024 8:14
74-20076120;https://yle.fi/a/74-20076120;Perustuslakivaliokunta: Nato-joukkoja koskeva sopimus vaatii laajan enemmistön – yksi syy kuolemanrangaistuksen kielto;23.2.2024 11:33
74-20076102;https://yle.fi/a/74-20076102;Unkari ja Ruotsi sopivat hävittäjäkaupoista – Unkarin odotetaan hyväksyvän Ruotsin Nato-jäsenyyden maanantaina;23.2.2024 14:22
74-20076096;https://yle.fi/a/74-20076096;Keskustan johtajuuden jättävä Annika Saarikko: lähtö viime hallitukseen oli virhe;23.2.2024 16:00
74-20076258;https://yle.fi/a/74-20076258;Biden vetosi kongressiin Ukraina-tuen läpiviemiseksi – ”Heidän ammuksensa ovat loppumassa”;24.2.2024 0:30
74-20076203;https://yle.fi/a/74-20076203;Kristi Raik:  Ukraina tarvitsee länneltä nopeasti ja paljon lisää tukea  – Venäjän hyökkäyssota voi kestää vuosia;24.2.2024 8:05
74-20076003;https://yle.fi/a/74-20076003;Ukrainan sota nyrjäytti maailman uuteen järjestykseen – tutkijat kertovat, miten liittolaisuudet toimivat nyt;24.2.2024 9:30
74-20076288;https://yle.fi/a/74-20076288;Ukrainan rinnalla pysytään nyt ja jatkossa, poliitikot vannottavat – näin Suomessa on kommentoitu sotaa sen vuosipäivänä;24.2.2024 15:12
74-20076349;https://yle.fi/a/74-20076349;Unkarin parlamentti äänestää Ruotsin Nato-jäsenyyden ratifioinnista;26.2.2024 2:41
74-20076340;https://yle.fi/a/74-20076340;Katso aamun pääuutiset;26.2.2024 6:30
74-20076339;https://yle.fi/a/74-20076339;Analyysi: Ukraina herätti Euroopan sotavarusteluun – komissio vaihtaa vihreän kehityksen puolustukseen;26.2.2024 16:30
74-20076452;https://yle.fi/a/74-20076452;Unkarin parlamentti äänesti Ruotsin Nato-jäsenyyden puolesta – Kristersson: ”Saavumme nyt kotiin”;26.2.2024 17:48
74-20076216;https://yle.fi/a/74-20076216;Pian Naton kartalla ei ole enää Ruotsin kokoista valkeaa läiskää – näin länsinaapurin jäsenyys hyödyttää Suomea;26.2.2024 17:50
74-20076423;https://yle.fi/a/74-20076423;Analyysi: Orbánin nöyryyttämä Ruotsi pääsee viimein Naton jäseneksi;26.2.2024 18:12
74-20076173;https://yle.fi/a/74-20076173;Katso grafiikoista, miten Suomen ja Ruotsin sotilaallinen voima eroaa;26.2.2024 19:06
74-20076496;https://yle.fi/a/74-20076496;Analyysi: Kun Ruotsista tulee Naton jäsen, Suomen hetki valokiilassa on ohi;26.2.2024 19:47
74-20076418;https://yle.fi/a/74-20076418;Katso tästä nopeasti päivän tärkeimmät uutiset;26.2.2024 20:30
74-20076517;https://yle.fi/a/74-20076517;Niinistö: Nyt tehostetaan aseapua – 20 maata keskustelivat Pariisissa Ukraina-tuen vauhdittamisesta;27.2.2024 5:54
